entity,latency_ms,roundtrip_cost_bps,sizing,trades,gross_pnl,cost_pnl,net_pnl,exposure,turnover,annualised_daily_sharpe,annualised_daily_sortino,maximum_drawdown,win_rate,average_win,average_loss,average_holding_seconds,break_even_roundtrip_bps,pnl_concentration_largest_day
combined,5000,2.0,fixed,4509,0.032271014231479066,0.4349870139788343,-0.4027159997473553,0.006727538157014966,4349.870139788343,-2706.1224598324707,-2706.1224598324707,-0.4027159997473553,0.16300731869594146,0.00008243255688743944,-0.00012276203737668871,5.371533667110224,0.14837690870950604,0.050964147666241154
BTCUSDT,5000,5.0,fixed,101720,1.175734952755869,50.860000000000014,-49.68426504724415,0.3108067939253472,203440.0,-91.40986637658493,-91.40986637658493,-1.0,0.017322060558395597,0.0002480266598877825,-0.000501423478080458,5.2799266604699175,0.11558542594925963,0.06979614466234285
ETHUSDT,5000,5.0,fixed,123479,0.755803169503194,61.73950000000002,-60.98369683049683,0.38605689905555557,246958.0,-259.72096614055437,-259.72096614055437,-1.0,0.05267292414094704,0.00038051182320689587,-0.0005424966508111518,5.402589278889528,0.061209045222523184,0.05681249543231326
combined,5000,5.0,fixed,1715,0.010578208322372716,0.4153677977968458,-0.40478958947447313,0.002541824155691026,1661.4711911873833,-1674.2713943882063,-1674.2713943882063,-0.4047895894744731,0.044897959183673466,0.00010261439837588697,-0.00025194804526826396,5.319524083381924,0.12733544076455416,0.05172977806084333
BTCUSDT,5000,7.0,fixed,101720,1.175734952755869,71.204,-70.02826504724413,0.3108067939253472,203440.0,-92.28610927715587,-92.28610927715587,-1.0,0.00674400314589068,0.0003045076857732213,-0.0006951833770778605,5.2799266604699175,0.11558542594925963,0.06920877087858635
ETHUSDT,5000,7.0,fixed,123479,0.755803169503194,86.43529999999997,-85.67949683049679,0.38605689905555557,246958.0,-264.32558719699335,-264.32558719699335,-1.0,0.026409348958122435,0.00047373642139633736,-0.0007255515089310274,5.402589278889528,0.061209045222523184,0.05678911045823841
combined,5000,7.0,fixed,1219,0.007453724408767803,0.4135226968864297,-0.4060689724776619,0.0018059301574168735,1181.4934196755135,-1925.6596543554258,-1925.6596543554258,-0.40606897247766194,0.020508613617719443,0.00011063919609175635,-0.00034240783281403337,5.317063073831009,0.12617462416024122,0.05095377568363551
BTCUSDT,5000,10.0,fixed,101720,1.175734952755869,101.72000000000003,-100.54426504724417,0.3108067939253472,203440.0,-92.93592521762551,-92.93592521762551,-1.0,0.0022611089264648054,0.0003675600104769826,-0.000991514472851058,5.2799266604699175,0.11558542594925963,0.06877339197248593
ETHUSDT,5000,10.0,fixed,123479,0.755803169503194,123.47900000000004,-122.72319683049685,0.38605689905555557,246958.0,-267.6065639721889,-267.6065639721889,-1.0,0.011038314207274112,0.0006647028051650968,-0.0010123913881386294,5.402589278889528,0.061209045222523184,0.05700358685388274
combined,5000,10.0,fixed,853,0.0060162033749367235,0.415029540968725,-0.40901333759378833,0.0012672718759496003,830.05908193745,-1456.0218140984114,-1456.0218140984114,-0.40901333759378833,0.0035169988276670576,0.00014059736992720728,-0.0004816883878865528,5.309167323563892,0.14495843743783246,0.051238563569897304
BTCUSDT,5000,20.0,fixed,101720,1.175734952755869,203.44000000000005,-202.26426504724418,0.3108067939253472,203440.0,-93.68564474476851,-93.68564474476851,-1.0,0.00012780180888714117,0.0006336503015918371,-0.001988776608307834,5.2799266604699175,0.11558542594925963,0.06827093331317935
ETHUSDT,5000,20.0,fixed,123479,0.755803169503194,246.95800000000008,-246.20219683049692,0.38605689905555557,246958.0,-271.2189603210624,-271.2189603210624,-1.0,0.001895059078871711,0.0014032183755871028,-0.0020003290188679804,5.402589278889528,0.061209045222523184,0.05725238276089727
combined,5000,20.0,fixed,434,0.008671796883797687,0.4252606026428381,-0.41658880575904045,0.0006466318071096337,425.2606026428381,-664.4694521675053,-664.4694521675053,-0.41658880575904034,0.0,0.0,-0.0009598820409194481,5.284261958525345,0.40783448219306756,0.052590517102295224
BTCUSDT,500,0.0,inverse_volatility,148380,4.092351395023156,0.0,4.092351395023156,0.30445907060926375,198484.217750102,87.50363671225824,0.0,0.0,0.5603922361504245,0.00008489111062420119,-0.000069577327183999,5.271963770777733,0.41236038224213456,0.06372901773427585
